Id,Lokacija,Leto,Sobe,Kvadratura,Agencija,Cena
6213817,LJ. CENTER,1800,4.0,74.0,LJUBLJANA NEPREMIČNINE d.o.o.,350000.0
6214630,FUŽINE,1982,2.5,74.8,MKA nepremičnine d.o.o.,175000.0
6214675,LJ. CENTER,1880,2.5,45.6,DVOREC POSREDNIŠKA HIŠA d.o.o.,195000.0
6216308,ZUPANČIČEVA JAMA,1991,4.5,107.0,Zasebna ponudba,360000.0
6216790,LJ. BEŽIGRAD,1930,5.0,135.0,LJUBLJANA NEPREMIČNINE d.o.o.,295000.0
6217304,LJ. VIČ,1990,3.5,68.0,LJUBLJANA NEPREMIČNINE d.o.o.,154000.0
6217308,LJ. VIČ,1990,2.5,47.0,LJUBLJANA NEPREMIČNINE d.o.o.,134000.0
6217366,LJ. CENTER,1912,4.0,131.3,"Aeon nepremičnine, d.o.o., Century 21 Emona",550000.0
6218195,LJ. BEŽIGRAD,1930,3.5,85.0,LJUBLJANA NEPREMIČNINE d.o.o.,189500.0
6218198,LJ. BEŽIGRAD,1930,2.0,50.0,LJUBLJANA NEPREMIČNINE d.o.o.,119000.0
6218223,"LJ. BEŽIGRAD, HERBERSTEINOVA ULICA",1984,1.0,41.9,"Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o.",128000.0
6218271,"ŠMARTNO POD ŠMARNO GORO, ULICA CIRILA KOSMAČA",2019,4.0,142.74,Real Go d.o.o.,280000.0
6218275,"ŠMARTNO POD ŠMARNO GORO, ULICA CIRILA KOSMAČA",2019,4.0,90.11,Real Go d.o.o.,240000.0
6218423,"LJ. ŠIŠKA, RUNKOVA",1948,3.0,69.9,D5 invest d.o.o.,200000.0
6218929,LJ. ŠIŠKA,1975,2.0,52.8,MESTO NEPREMIČNIN d.o.o.,159000.0
6219046,LJ. CENTER,1991,4.0,98.7,Moneta Invest d.o.o.,350000.0
6220143,RUDNIK,1954,3.0,58.0,LJUBLJANA NEPREMIČNINE d.o.o.,146000.0
6220366,LJ. CENTER,1550,3.0,123.0,RCN d.o.o.,360000.0
6220405,"LJ. VIČ, TRNOVO, TRNOVSKA UL.",1983,3.0,72.3,Realia d.o.o.,249000.0
6220891,ZG. ŠIŠKA,1962,2.0,51.0,"ALTERA, d.o.o.",145000.0
6221453,"LJ. BEŽIGRAD, RAVBARJEVA ULICA - BLIZU CENTRA",1958,1.5,46.2,"Sans nepremičnine, d.o.o.",138990.0
6221836,ZALOG,2007,2.5,106.0,"Sans nepremičnine, d.o.o.",159990.0
6222126,TRNOVO,2005,4.0,193.0,RCN d.o.o.,855000.0
6222185,DRAVLJE,1986,2.0,67.0,Bidom d.o.o.,172000.0
6222297,LJ. VIČ,2009,3.0,100.2,"MA - nepremičninska družba, Marko Alič s.p.",290000.0
6223427,"LJ. CENTER, STAROMEŠČANSKO",1905,4.0,94.0,Blok d.o.o.,270000.0
6223769,"LJ. CENTER, MESTNI TRG",1800,2.0,80.0,Landart d.o.o.,290000.0
6224051,"LJ. CENTER, MIKLOŠIČEVA",1907,5.0,192.0,Zasebna ponudba,830000.0
6224552,LJ. CENTER,1931,1.5,38.0,Mreža nepremičnin d.o.o.,149000.0
6224994,"FUŽINE, NOVE",1986,4.0,98.0,Zasebna ponudba,228000.0
6225124,TRNOVO,2005,4.0,193.0,RCN d.o.o.,855000.0
6225558,"LJ. ŠIŠKA, ŠMARTNO POD ŠMARNO GORO",1995,3.0,111.0,PERFEKT B d.o.o.,225000.0
6227753,LJ. CENTER,1896,5.0,330.0,Vila Portorož d.o.o.,1200000.0
6228560,"LJ. BEŽIGRAD, ZUPANČIČEVA JAMA",1991,4.0,120.0,Rojal invest d.o.o.,387000.0
6228869,"LJ. BEŽIGRAD, BS4, DUPLEX, PENTHOUSE",2000,5.0,153.7,Zasebna ponudba,380000.0
6228921,"LJ. CENTER, TRNOVO, KOLEZIJSKA UL.",1900,3.5,103.2,"BUTIK NEPREMIČNIN, Špela Primc s.p.",215000.0
6229096,LJ. VIČ,1930,3.0,70.0,Novi list d.o.o.,236000.0
6229170,"LJ. CENTER, POLJANSKI NASIP, BLIZU TRŽNICE",1977,4.0,104.7,"RESTATE nepremičnine, Dinka Martinčić s.p., PE Center",375000.0
6229355,LJ. MOSTE,2016,2.0,48.2,Zasebna ponudba,120000.0
6229527,LJ. CENTER,1907,5.0,194.0,LJUBLJANA NEPREMIČNINE d.o.o.,850000.0
6229718,"LJ. ŠIŠKA, KUPEC NE PLAČA PROVIZIJE",2018,1.0,38.24,RCN d.o.o.,152957.85
6230144,"LJ. CENTER, KOMENSKEGA",1883,3.0,77.6,Zasebna ponudba,290000.0
6230201,"LJ. BEŽIGRAD, LINHARTOVA",1958,3.0,75.5,Elite nepremičnine d.o.o.,171000.0
6230250,LJ. CENTER,1898,5.0,184.0,LJUBLJANA NEPREMIČNINE d.o.o.,498000.0
6230286,LJ. CENTER,1900,3.5,98.0,LJUBLJANA NEPREMIČNINE d.o.o.,270000.0
6230480,TRNOVO,2005,4.0,185.5,ABC nepremičnine d.o.o.,855000.0
6230515,"LJ. BEŽIGRAD, PARMOVA",1925,1.0,44.3,Mreža nepremičnin d.o.o.,119000.0
6230516,"LJ. ŠIŠKA, BLIŽINA KOSEŠKE TRŽNICE",2018,4.5,176.1,Svet Real d.o.o.,445689.0
6230601,"LJ. ŠIŠKA, TACENSKE BRZICE",2009,3.0,122.28,Vizija Lina Ina Poglajen s.p.,370000.0
6231845,TRNOVO,2007,4.0,185.5,Galeno d.o.o.,950000.0
6231956,STARA LJ.,1550,3.5,123.7,ABC nepremičnine d.o.o.,360000.0
6232545,VEVČE,1987,3.0,80.0,LJUBLJANA NEPREMIČNINE d.o.o.,196000.0
6232974,VIŽMARJE,2020,1.0,44.52,Mreža nepremičnin d.o.o.,134368.0
6233061,ZUPANČIČEVA JAMA,1968,2.0,63.3,Mreža nepremičnin d.o.o.,199000.0
6233098,ROŽNA DOLINA,2018,4.5,138.42,DOM REAL d.o.o.,490000.0
6233104,ROŽNA DOLINA,2018,5.0,277.26,DOM REAL d.o.o.,1096000.0
6233236,"LJ. VIČ, GRBA",1988,4.5,137.21,Garant - Gabrijela Smuk s.p.,341000.0
6233567,"LJ. CENTER, PREŠERNOVA - POGLED NA GRAD, ROŽNIK",1895,3.5,98.0,Domart RE d.o.o.,478000.0
6233781,VIŽMARJE,2020,1.0,43.48,Mreža nepremičnin d.o.o.,138143.0
6233797,VIŽMARJE,2020,1.0,35.25,Mreža nepremičnin d.o.o.,127934.0
6233918,"LJ. ŠIŠKA, MALGAJEVA ULICA TIVOLI",1930,3.0,45.0,UgodNepremicnine - Vehar Sebastjan s.p.,122000.0
6234035,"LJ. BEŽIGRAD, SAVSKO NASELJE",2012,3.5,122.32,Roni nepremičnine d.o.o.,349000.0
6234226,"LJ. ŠIŠKA, SCOPOLIJEVA ULICA",1962,2.0,49.4,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o.",139000.0
6234465,LJ. CENTER,1933,3.5,117.0,GRE d.o.o.,435000.0
6235180,DRAVLJE,1972,2.0,55.2,K 3 Kern d.o.o.,146000.0
6235730,"LJ. BEŽIGRAD, LINHARTOVA CESTA",1962,3.0,81.0,"Domek nepremičnine, Nataša Batinič s.p.",184000.0
6235731,"LJ. VIČ, BRDO",2019,5.0,155.21,Agencija Katja d.o.o.,461000.0
6235732,"LJ. VIČ, BRDO",2019,3.0,129.82,Agencija Katja d.o.o.,394800.0
6235734,"LJ. VIČ, BRDO",2019,3.0,103.09,Agencija Katja d.o.o.,391500.0
6235776,NOVO POLJE,1968,3.0,81.2,NeSta d.o.o.,179000.0
6237182,LJ. CENTER,1795,1.0,36.5,Novi list d.o.o.,138000.0
6237668,LJ. CENTER,2008,3.0,106.7,"Stoja trade, d.o.o., Ljubljana",680000.0
6237677,PRŽAN,1968,3.0,125.3,"Stoja trade, d.o.o., Ljubljana",160000.0
6237694,LJ. VIČ,2002,4.0,168.0,ABC nepremičnine d.o.o.,593000.0
6237828,LJ. CENTER,2005,2.5,113.0,LJUBLJANA NEPREMIČNINE d.o.o.,750000.0
6238011,ROŽNA DOLINA,2019,3.0,152.45,"Agencia d.o.o., PE Obala",470630.0
6238016,ROŽNA DOLINA,2019,4.0,121.15,"Agencia d.o.o., PE Obala",461472.0
6238051,ČRNUČE,1996,3.0,136.1,"Stoja trade, d.o.o., Ljubljana",239000.0
6238059,POLJE,1970,2.0,61.3,"Stoja trade, d.o.o., Ljubljana",140000.0
6238086,"LJ. CENTER, TABOR",1895,3.0,90.5,"Stoja trade, d.o.o., Ljubljana",309000.0
6238123,LJ. BEŽIGRAD,1978,2.0,66.5,"Stoja trade, d.o.o., Ljubljana",155000.0
